estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;338.431936350371;327.30802050167;349.555852199071;419;306;33;24;358
chao2;328.624127094972;315.667027328898;358.948141077388;419;306;33;24;358
chao2_corrected;327.061005586592;311.564084354882;385.719488064424;419;306;33;24;358
chao_lower;328.6875;308.634063776584;501.410096302823;419;306;33;24;358
chao_upperbound;0.0;310.492649242411;393.847118878337;419;306;33;24;358
ice;413.973190605103;369.008304716049;458.938076494157;419;306;33;24;358
jack_our;338.90782122905;323.018068328337;354.797574129763;419;306;33;24;358
species_chaobunge;325.0;312.0;341.0;419;306;33;24;358
species_jackknife;339.0;323.0;355.0;419;306;33;24;358
species_pcg;333.0;327.0;365.0;419;306;33;24;358
species_pnpmle;353.0;309.0;370.0;419;306;33;24;358
species_unpmle;335.0;314.0;367.0;419;306;33;24;358
zelterman;399.220595677148;303.725325741394;494.715865612902;419;306;33;24;358
