subject,testsuite,type,total_mutants,killed,estimator,estimation,CILower,CIUpper,MEstimate,MLower,MUpper
commons-collections,dynamosa,classes,8309,7762,bootstrap,10510.903298409,7332.36154128386,13689.4450555341,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,ice,15595.3871266418,13692.0958196491,17498.6784336345,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,spader_chao,9470.143,9321.879,9632.5,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,spader_ice,10623.617,10394.449,10872.735,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,spader_ice1,11001.236,10693.632,11341.116,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,spader_ichao2,9470.143,9321.879,9632.5,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,species_chaobunge,11381.0,10963.0,11852.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,species_jackknife,11181.0,10908.0,11454.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,species_pcg,10556.0,10476.0,11197.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,species_pnpmle,18050.0,17901.0,19611.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,species_unpmle,10550.0,10456.0,12058.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,classes,8309,7762,zelterman,9147.28666271754,8975.58719475445,9318.98613068063,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,bootstrap,10138.6528611458,7494.43990726849,12782.8658150231,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,ice,51745.8470737159,23877.880606072,79613.8135413597,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,spader_chao,10577.465,10315.455,10866.359,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,spader_ice,10673.04,10454.055,10909.838,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,spader_ice1,11689.229,11353.35,12056.521,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,spader_ichao2,11271.061,11112.663,11436.946,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,species_chaobunge,13329.0,12638.0,14102.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,species_jackknife,14911.0,13790.0,16032.0,8288.4,8196.813666092314,8308.478519172066
commons-collections,dynamosa,methods,8309,7762,species_pcg,18643.0,12102.0,19975.0,8288.4,8196.813666092314,8308.478519172066
