estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5997.952331459;4219.49766034564;7776.40700257237;4561;4558;1050;2098;273
chao2;4819.78778323678;4777.51582027836;4870.20001986702;4561;4558;1050;2098;273
chao2_corrected;4819.41386007989;4757.00932412501;4901.38695708018;4561;4558;1050;2098;273
chao_lower;4820.75023832221;4594.71882889934;6438.17128562658;4561;4558;1050;2098;273
chao_upperbound;0.0;4560.93583764863;4560.99955382606;4561;4558;1050;2098;273
ice;6508.60919263583;6040.50615097337;6976.71223429829;4561;4558;1050;2098;273
jack_our;5604.15384615385;5514.58215437323;5693.72553793446;4561;4558;1050;2098;273
species_chaobunge;5145.0;5064.0;5237.0;4561;4558;1050;2098;273
species_jackknife;5608.0;5518.0;5698.0;4561;4558;1050;2098;273
species_pcg;5366.0;5312.0;5569.0;4561;4558;1050;2098;273
species_pcg;5167.0;5130.0;2201735.0;4561;4558;1050;2098;273
species_pnpmle;9675.0;9593.0;10890.0;4561;4558;1050;2098;273
species_unpmle;5360.0;5322.0;5642.0;4561;4558;1050;2098;273
zelterman;4643.37090861203;4611.79229797159;4674.94951925246;4561;4558;1050;2098;273
