estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;369.670887747023;313.459110746655;425.882664747392;422;279;140;67;11
chao2;411.971506105834;364.877803004579;484.8904724788;422;279;140;67;11
chao2_corrected;409.080213903743;343.40267659231;541.735385306393;422;279;140;67;11
chao_lower;425.268656716418;298.623419634249;1369.25441724162;422;279;140;67;11
chao_upperbound;0.0;325.489372329402;419.816448715198;422;279;140;67;11
ice;444.341013824885;392.381366238589;496.300661411181;422;279;140;67;11
jack_our;502.875757575758;431.275190383698;574.476324767817;422;279;140;67;11
species_chaobunge;513.0;409.0;701.0;422;279;140;67;11
species_jackknife;492.0;435.0;549.0;422;279;140;67;11
species_pcg;499.0;454.0;761.0;422;279;140;67;11
species_pnpmle;508.0;423.0;728.0;422;279;140;67;11
species_unpmle;512.0;409.0;2049.0;422;279;140;67;11
zelterman;452.913571063301;367.619842042736;538.207300083866;422;279;140;67;11
