estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;424.136466697862;411.832540512957;436.440392882766;468;362;80;48;647
chao2;428.563626996394;399.926036639954;478.825190066061;468;362;80;48;647
chao2_corrected;426.390120808756;388.029273369816;521.285570475208;468;362;80;48;647
chao_lower;428.666666666667;370.647929005837;875.931652473626;468;362;80;48;647
chao_upperbound;0.0;381.080240856479;463.980517313259;468;362;80;48;647
ice;950.951072534954;761.709550106636;1140.19259496327;468;362;80;48;647
jack_our;473.851508031831;431.002949932801;516.70006613086;468;362;80;48;647
species_chaobunge;460.0;408.0;529.0;468;362;80;48;647
species_jackknife;474.0;431.0;517.0;468;362;80;48;647
species_pcg;145334.0;145340.0;145403.0;468;362;80;48;647
species_unpmle;443.0;366.0;479.0;468;362;80;48;647
zelterman;518.026619370987;417.775308728925;618.277930013049;468;362;80;48;647
