estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;4415.79340392665;4363.66454692905;4467.92226092424;4561;3579;1037;692;5658
chao2;4355.86339473803;4241.76475988766;4489.60474335749;4561;3579;1037;692;5658
chao2_corrected;4353.99431572708;4174.74094549597;4587.18349645123;4561;3579;1037;692;5658
chao_lower;4356.00072254335;3687.74376153788;9130.85984276085;4561;3579;1037;692;5658
chao_upperbound;0.0;4123.28115997024;4539.47163119591;4561;3579;1037;692;5658
ice;17703.9406286474;;;4561;3579;1037;692;5658
jack_our;4960.81705155067;4806.25164058029;5115.38246252105;4561;3579;1037;692;5658
species_chaobunge;5092.0;4845.0;5371.0;4561;3579;1037;692;5658
species_jackknife;4961.0;4806.0;5116.0;4561;3579;1037;692;5658
species_pcg;1700805.0;1700930.0;1701620.0;4561;3579;1037;692;5658
species_pnpmle;4467.0;4319.0;4770.0;4561;3579;1037;692;5658
species_unpmle;4464.0;4173.0;4750.0;4561;3579;1037;692;5658
zelterman;4857.87711902556;4620.50298535861;5095.25125269251;4561;3579;1037;692;5658
