estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;4877.59263606439;4654.94853979515;5100.23673233362;4365;3566;2014;770;262
chao2;6189.84047784277;5896.48365215544;6520.12449977872;4365;3566;2014;770;262
chao2_corrected;6185.13620162177;5727.94928665985;6739.0043276103;4365;3566;2014;770;262
chao_lower;6199.89350649351;3935.67733576724;22332.0814779209;4365;3566;2014;770;262
chao_upperbound;0.0;4310.2666763851;4364.59982594406;4365;3566;2014;770;262
ice;14067.0373560642;12780.1930014078;15353.8817107207;4365;3566;2014;770;262
jack_our;7772.14075057198;7268.23867845919;8276.04282268478;4365;3566;2014;770;262
species_chaobunge;-54198.0;-10886.0;-228819.0;4365;3566;2014;770;262
species_jackknife;7782.0;7271.0;8293.0;4365;3566;2014;770;262
species_pcg;3917.0;3836.0;1573727.0;4365;3566;2014;770;262
species_pcg;1776036.0;1776159.0;1776930.0;4365;3566;2014;770;262
species_pnpmle;9729.0;9461.0;11248.0;4365;3566;2014;770;262
species_unpmle;6449.0;6182.0;8153.0;4365;3566;2014;770;262
zelterman;6671.63085296891;6273.57154168155;7069.69016425627;4365;3566;2014;770;262
