estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;388.827155344565;337.212576003055;440.441734686075;419;306;123;63;11
chao2;415.155844155844;374.657122973608;479.543513000902;419;306;123;63;11
chao2_corrected;412.576704545455;356.541759927348;530.736811066663;419;306;123;63;11
chao_lower;426.071428571429;322.010842988125;1206.46151660325;419;306;123;63;11
chao_upperbound;0.0;342.159450055936;417.304532857773;419;306;123;63;11
ice;409.549932121385;376.687990411534;442.411873831236;419;306;123;63;11
jack_our;503.279797979798;435.562797921326;570.99679803827;419;306;123;63;11
species_chaobunge;416.0;373.0;485.0;419;306;123;63;11
species_jackknife;489.0;436.0;542.0;419;306;123;63;11
species_pcg;153306.0;153313.0;153388.0;419;306;123;63;11
species_pnpmle;560.0;411.0;682.0;419;306;123;63;11
species_unpmle;620.0;432.0;2113152.0;419;306;123;63;11
zelterman;477.390497760806;388.253990374007;566.527005147605;419;306;123;63;11
