estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;5655.54101897848;4236.45542203283;7074.62661592414;4561;4558;1050;1208;3954
chao2;5014.21737104182;4946.10333017732;5094.28576066382;4561;4558;1050;1208;3954
chao2_corrected;5013.40588667944;4907.82243268561;5150.8565530521;4561;4558;1050;1208;3954
chao_lower;5014.33278145695;4621.8503181949;7819.37149068841;4561;4558;1050;1208;3954
chao_upperbound;0.0;4560.94453282481;4560.99961506751;4561;4558;1050;1208;3954
ice;14048.7157015121;;;4561;4558;1050;1208;3954
jack_our;5607.7344461305;5517.93299957885;5697.53589268216;4561;4558;1050;1208;3954
species_chaobunge;5489.0;5364.0;5625.0;4561;4558;1050;1208;3954
species_jackknife;5608.0;5518.0;5698.0;4561;4558;1050;1208;3954
species_pcg;5171.0;5145.0;2201127.0;4561;4558;1050;1208;3954
species_pnpmle;8763.0;8690.0;9537.0;4561;4558;1050;1208;3954
species_unpmle;5175.0;5140.0;5573.0;4561;4558;1050;1208;3954
zelterman;5065.36411512842;4948.41585177225;5182.3123784846;4561;4558;1050;1208;3954
