estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;3982.25459117101;3951.49477770896;4013.01440463305;4365;3566;437;362;34326
chao2;3829.76165277323;3772.51228215179;3902.88170383266;4365;3566;437;362;34326
chao2_corrected;3828.43312581087;3741.32936983571;3958.81008987485;4365;3566;437;362;34326
chao_lower;3829.76933701657;3602.58879952718;5467.51806151742;4365;3566;437;362;34326
chao_upperbound;0.0;3725.25630969789;4002.85369000028;4365;3566;437;362;34326
ice;6365.38482878752;;;4365;3566;437;362;34326
jack_our;4077.99344489465;3977.63498695094;4178.35190283836;4365;3566;437;362;34326
species_chaobunge;3812.0;3762.0;3864.0;4365;3566;437;362;34326
species_jackknife;4078.0;3978.0;4178.0;4365;3566;437;362;34326
species_pcg;4118.0;3942.0;4528.0;4365;3566;437;362;34326
species_unpmle;3934.0;3853.0;4400.0;4365;3566;437;362;34326
zelterman;4406.59189921458;4158.69168637999;4654.49211204917;4365;3566;437;362;34326
