estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;338.167831155145;328.475652841837;347.860009468453;419;306;33;24;6072
chao2;328.683763586957;315.69461775064;359.076164909646;419;306;33;24;6072
chao2_corrected;327.116521739131;311.579384811523;385.92054777047;419;306;33;24;6072
chao_lower;328.6875;308.634063776584;501.410096302823;419;306;33;24;6072
chao_upperbound;0.0;310.492649242411;393.847118878337;419;306;33;24;6072
ice;413.60417720126;368.781834669671;458.42651973285;419;306;33;24;6072
jack_our;338.994565217391;323.073416745757;354.915713689026;419;306;33;24;6072
species_chaobunge;325.0;312.0;341.0;419;306;33;24;6072
species_jackknife;339.0;323.0;355.0;419;306;33;24;6072
species_pcg;325.0;317.0;357.0;419;306;33;24;6072
species_pnpmle;328.0;324.0;332.0;419;306;33;24;6072
species_unpmle;335.0;314.0;450.0;419;306;33;24;6072
zelterman;399.220595677148;303.725325741394;494.715865612902;419;306;33;24;6072
