estimator;estimate_S;CILower;CIUpper;total_mutants;killed_mutants_Sn;f1;f2;n_samples
bootstrap;250.731122802831;237.667449405958;263.794796199704;257;218;28;41;298
chao2;227.528891798985;221.642416931001;242.928441921066;257;218;28;41;298
chao2_corrected;226.969798657718;220.105758618437;256.208219714996;257;218;28;41;298
chao_lower;227.560975609756;219.04841879801;305.190590996499;257;218;28;41;298
chao_upperbound;0.0;219.896200727938;250.61725633962;257;218;28;41;298
ice;290.460857771459;252.772850775684;328.148864767233;257;218;28;41;298
jack_our;245.906040268456;231.275662824704;260.536417712209;257;218;28;41;298
species_chaobunge;230.0;221.0;242.0;257;218;28;41;298
species_jackknife;246.0;231.0;261.0;257;218;28;41;298
species_pcg;234.0;227.0;256.0;257;218;28;41;298
species_pnpmle;379.0;359.0;399.0;257;218;28;41;298
species_unpmle;221.0;221.0;228.0;257;218;28;41;298
zelterman;230.315760850527;210.687979898583;249.943541802471;257;218;28;41;298
